Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Illinois Medical Center,PJ Hoerr,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","Healthcare, Higher Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_4097.jpg?h=1389ae57&itok=iY2qS_Vd,https://www.f-w.com/projects/new-mob-for-college-of-medicine
Dominican Monastery of Mary the Queen,,"Girard, IL","Architecture, Interior Design",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Night%20Aerial%202.jpg?h=8f74817f&itok=N05Nw00Q,https://www.f-w.com/projects/new-monastery-provides-contemplative-spaces-for-worship
New Libman Company Office Building,The Libman Company,"Arcola, IL","Architecture, Interior Design",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_7DL5958RT__0.jpg?itok=oN81prPe,https://www.f-w.com/projects/new-office-building-on-the-libman-company-campus
"El Paso Strauss 8"" Pipeline",Magellan Midstream Partners,"El Paso, TX","Oil & Gas, Surveying",Oil & Gas,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0424.JPG?itok=UX71eRPa,https://www.f-w.com/projects/new-pipeline-through-new-mexico-and-texas
Toyo Manufacturing Plant,"Takenaka, U.S.A.","Bloomington, IL","Architecture, Land Development",Industrial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Toyo%20Manufacturing%20Original%20Building%20-%202_0.JPG?h=e0f0083d&itok=j0wEIJ0e,https://www.f-w.com/projects/new-plant-for-auto-replacement-parts-producer
Will County Public Safety Building,Will County,"Joliet, IL",Commissioning (Cx),Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/0161090.00%20-%20Will%20County%20Public%20Safety%20Complex%20Photo%20%283%29.jpg?h=4020f943&itok=2l8vdDbO,https://www.f-w.com/projects/new-public-safety-building-in-will-county
Indoor Health and Wellness Center,Urbana Park District,"Urbana, IL","Architecture, Landscape Architecture, Stormwater Management",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CMMcGuire-20241220-0796-web.png?h=44c3b064&itok=qb7MGZyl,https://www.f-w.com/projects/new-recreation-center-serves-the-community
Joe Green Residence Hall and Visitors Center,University of North Texas,"Denton, TX",Building Enclosure Commissioning (BECx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UNT%202018%20Res%20Hall%20-%20WEB.png?h=1e28755c&itok=05jhwYzE,https://www.f-w.com/projects/new-residence-hall-targets-leed-gold-certification
New Sports Complex,Deer Creek-Mackinaw CUSD 701,"Mackinaw, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural","K-12 Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI_0213.JPG?h=da92fc0b&itok=z4ovM5GW,https://www.f-w.com/projects/new-sports-complex-for-dee-mack-schools
CSO McKnight Southeast of HIghway 40,Metropolitan St. Louis Sewer District,"St. Louis, MO","Surveying, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/msd%20project%20photos%20009.jpg?h=a5eb5da0&itok=Zz5O-iQY,https://www.f-w.com/projects/new-storm-sewer-system-in-st-louis
Virginia New Water Treatment Plant & Regional Distribution System,City of Virginia,"Virginia, IL","Architecture, Electrical, Engineering, Mechanical, Municipal, Plumbing, Structural, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/FarnsworthGroup1.jpg?h=a5eb5da0&itok=N14_dGE_,https://www.f-w.com/projects/new-treatment-plant-and-distribution-system
Emich Volkswagen,W.E. O'Neil,"Denver, CO","Architecture, Electrical, Engineering, Mechanical","Commercial, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/farnsworth_emich%20vw%20denver_photo%20by%20timothy%20gormley_www.tgimage.com_03.jpg?h=2992ba0a&itok=HVn8E7Tm,https://www.f-w.com/projects/new-volkswagen-dealership-for-denver
Will County Courthouse,Will County,"Joliet, IL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/1423_001%20edit.jpg?h=25242eed&itok=xROGixRO,https://www.f-w.com/projects/new-will-county-courthouse
"YMCA of Springfield, Illinois",YMCA,"Springfield, IL","Architecture, Interior Design",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/YMCA_DT_Ext_03_MuchowPhotography%20-%20Copy_0.jpg?h=7b71056d&itok=VwmA5Fcf,https://www.f-w.com/projects/new-ymca-serves-as-community-landmark
Rush Creek Exposure,Confidential,Kansas,"Oil & Gas, Surveying",Oil & Gas,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/081.jpg?itok=Pqm7bcBK,https://www.f-w.com/projects/non-invasive-response-to-rush-creek-pipeline-exposure
Northern Water Campus Expansion,Northern Water,"Berthoud, CO","Land Development, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSCN0108_0.JPG?h=94b28deb&itok=q7As1zVw,https://www.f-w.com/projects/northern-water-campus-expansion
Northern Water Willow Creek Campus,Northern Water,"Granby, CO","Land Development, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI_20220901105644_0082.JPG?h=5767db86&itok=HDozA2W-,https://www.f-w.com/projects/northern-water-willow-creek-campus
"Vehicle Vault Event Center, Museum and Country Club",Vehicle Vault,"Parker, CO","Architecture, Interior Design","Commercial, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Vehicle%20Vault%20-36.jpg?h=2050bde3&itok=DiN4qS3Y,https://www.f-w.com/projects/not-your-average-car-museum
On-Call Services,Roaring Fork Transportation Authority,"Aspen, CO","Architecture, Commissioning (Cx), Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing","Industrial, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1819%20no%20date.jpg?h=30c08e7f&itok=ZBzT91rw,https://www.f-w.com/projects/on-call-agreement-spans-multiple-services
Capline 40-Inch Crude Purge and Idle,Marathon Petroleum Company LP,Nationwide,Oil & Gas,"Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0908.JPG?h=71976bb4&itok=qe_ETx4K,https://www.f-w.com/projects/one-of-the-largest-pipeline-nitrogen-purges-ever-executed
Center for Integrated Wellness,Signet Central Illinois LLC (Signet Enterprises),"Bloomington, IL","Architecture, Interior Design, Land Development, Landscape Architecture",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Center%20for%20Integrated%20Wellness%20weights_090722.jpg?h=d08f423e&itok=Ai9jyGm_,https://www.f-w.com/projects/one-stop-for-fitness
Ongoing Services,Illinois State University,"Normal, CO","Architecture, Asset Management, Electrical, Interior Design, Land Development, Mechanical, Structural",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ISU%20Chiller%20Exterior%20retouched%20web.jpg?h=4336651d&itok=lVtG8XT3,https://www.f-w.com/projects/ongoing-services-for-illinois-state-university
Peoria Riverfront Museum,"County of Peoria, Illinois","Peoria, IL",Commissioning (Cx),Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Peoria%201%20cropped.jpg?h=268b2dbe&itok=WA1jyl5h,https://www.f-w.com/projects/ongoing-services-for-peoria-riverfront-museum
OSF Saint Francis Medical Center Various Projects,OSF Healthcare,"Peoria, IL","Architecture, Commissioning (Cx), Electrical, Engineering, Interior Design, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1689.jpg?h=71976bb4&itok=xOGg4Cyv,https://www.f-w.com/projects/osf-st-francis-medical-center-various-projects
OSF St. Joseph Various Projects,OSF Healthcare,"Bloomington, IL","Architecture, Building Enclosure Commissioning (BECx), Commissioning (Cx), Electrical, Interior Design, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1129.JPG?h=a5eb5da0&itok=25CF3i86,https://www.f-w.com/projects/osf-st-joseph-medical-various-projects
Brookens Library Renovation & Classroom Addition,University of Illinois Springfield,"Springfield, IL","Architecture, Interior Design","Higher Education, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Brookens_Library_Int_18.jpg?h=16214cf9&itok=xPSSuTJU,https://www.f-w.com/projects/outdated-library-becomes-a-campus-destination
Lincoln Elementary School,Iowa City Community School District,"Iowa City, IA",Architecture,K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/18239-%2000153%20F.jpg?h=b6b2a568&itok=3P-hkqfS,https://www.f-w.com/projects/outside-the-box-option-leads-to-expanded-space
Pana Community Hospital,Pana Community Hospital,"Pana, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pana_Comm_Hosp_Ext_01_MuchowPhotography_full.jpg?h=460cf8a6&itok=khG7jHqs,https://www.f-w.com/projects/pana-commits-to-community-hospital
PFC Robert C. Burke Memorial Park Master Plan,City of Monticello,"Monticello, IL","Landscape Architecture, Planning",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Contemporary%20Sculpture_enl2.jpg?h=86a59a23&itok=ic56NH9r,https://www.f-w.com/projects/park-makeover-honors-national-hero
Boulder County Minor Structures,Alfred Benesch & Company,"Boulder, CO","Engineering, Municipal, Subsurface Utility Engineering (SUE), Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSCN5959.JPG?h=94b28deb&itok=lShtmf7l,https://www.f-w.com/projects/partnering-for-success
Larry Gabriel Bridge,Geneva Park District,"Geneva, IL","Engineering, Municipal, Structural, Transportation","Municipal, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Gabriel%20Bridge%201.jpg?h=036a71b7&itok=RGiVtoqb,https://www.f-w.com/projects/pedestrian-bridge-redesigned
Lake Avenue Cottages,Private Developer,"Peoria, IL","Land Development, Landscape Architecture, Surveying",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/lake%20ave%2010-17-14.jpg?itok=0ddHhjUX,https://www.f-w.com/projects/peoria-illinois-pocket-neighborhood
Pepsi Center Retro-Commissioning,Kroenke Sports Enterprises,"Denver, CO",Retro-Commissioning (RCx),Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pepsi-Center-003.jpg?h=4fcd1acd&itok=X32aGlxE,https://www.f-w.com/projects/pepsi-center-retro-commissioning
Penrose Hospital Pharmacy Replacement,RTA Architects,"Colorado Springs, CO","Electrical, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2023-Penrose%20Pharmacy-SmithGroupFarnsworthGEJohnson-TheUnfoundDoor-5_0.jpg?h=5ad98189&itok=soHgJbfi,https://www.f-w.com/projects/pharmacy-replacement-at-penrose-hospital
Pioneer Park Wind Farm O&M Building,Horizon Wind Energy,"LeRoy, MN","Architecture, Electrical, Engineering, Interior Design, Mechanical, Plumbing","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/P1020531.JPG?h=a5eb5da0&itok=X7SD_YxI,https://www.f-w.com/projects/pioneer-prairie-wind-farm-in-leroy-minnesota
Pioneer Trail Wind Farm,"E.ON Climate and Renewables, North America","Ford & Iroquois Counties, IL","Surveying, Transportation","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Wind%20Frm_8-30-11_028_Ford%20Co.JPG?h=7685ba0d&itok=xu1SnLpb,https://www.f-w.com/projects/pioneer-trail-wind-farm
Cornerstone Pipeline Commissioning,Marathon Petroleum LP,"Cadiz, OH",Oil & Gas,"Energy & Utilities, Oil & Gas",,https://www.f-w.com/projects/pipeline-commissioning-plan-provides-successful-flow-of-natural-gas-liquids
Louisville International Airport,Marathon Pipe Line LLC,"Louisville, KY","Oil & Gas, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Project%20Page%20Photo_cropped%20for%20web_1.jpg?h=12bd73b8&itok=XpJlMy73,https://www.f-w.com/projects/pipeline-replacement-to-accommodate-a-new-aircraft-taxiway
Fairfax Bridge,Magellan Midstream Partners,"Kansas City, MO",Oil & Gas,"Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_2534.JPG?h=19f14c2c&itok=v0UjmVcF,https://www.f-w.com/projects/pipeline-triad-relocation
Peoria Heights Downtown Planning,Village of Peoria Heights,"Peoria Heights, IL","Architecture, Landscape Architecture, Planning",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Page-18-Graphic.png?h=0d5ad8f5&itok=UEzOogLa,https://www.f-w.com/projects/plan-reimagines-downtown-corridor
Harmony Subdivision,"Harmony, LLC","Timnath, CO","Engineering, Surveying",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5437.JPG?h=5f62bdfc&itok=AnRwPCrC,https://www.f-w.com/projects/planning-civil-design-and-survey-for-subdivision
Oberheim Park Master Plan,City of Monticello,"Monticello, IL","Landscape Architecture, Planning",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Enscape_2021-10-08-15-51-18_3.png?h=8f74817f&itok=uq2JDuYc,https://www.f-w.com/projects/planning-for-recreational-amenities
Tolono Police Station,Village of Tolono,"Tolono, IL","Architecture, Electrical, Mechanical, Municipal, Plumbing, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/02.10.17%20Exterior%20Rendering.jpg?h=a9d7fc0b&itok=FN7Jvm1c,https://www.f-w.com/projects/police-station-designed-with-future-growth-in-mind
Oswego Police Department Headquarters,"HOK, Inc.","Oswego, IL",Commissioning (Cx),Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20181026_154512%20cropped.jpg?h=9e167fb1&itok=SzC-IX_V,https://www.f-w.com/projects/police-station-includes-critical-infrastructure
Mississippi Polymer Institute,"Mississippi Bureau of Building, Grounds and Real Property Management","Hattiesburg, MS",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/USMP-15_0.jpg?h=60f9f39d&itok=atE1Pwic,https://www.f-w.com/projects/polymer-institute-serves-as-incubator-for-research
Pop-A-Shot Headquarters,Pop-A-Shot,"PEORIA, IL",Architecture,"Commercial, Historic Preservation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/pop%20a%20shot%20full%20interior.jpg?h=8c1344d8&itok=-LTgnD3G,https://www.f-w.com/projects/pop-a-shot-headquarters
Washington State Park Thunderbird Lodge Historic Preservation,Missouri State Parks and Missouri Department of Natural Resources,"DeSoto, MO","Architecture, Engineering","Historic Preservation, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Thunderbird%20Lodge%20Web%20photo%201.jpg?h=aa18f786&itok=8WY8jX8V,https://www.f-w.com/projects/preservation-of-historic-thunderbird-lodge
Technology Development Center UPW Polish System and Distribution,Confidential Client,,Process Piping,Industrial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UPW%204%20-%20UF.JPG?h=71976bb4&itok=8tcGh_Tl,https://www.f-w.com/projects/pressure-stability-on-multiple-floors
Pepsi Center Retro-Commissioning,Kroenke Sports Enterprises,"Denver, CO",Commissioning (Cx),Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pepsi%20Center%20003.jpg?h=4fcd1acd&itok=7iHaDArp,https://www.f-w.com/projects/proactive-approach-to-energy-demand-savings
"R&D Fab, UPW and DI Reclaim",Confidential,,Process Piping,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UPW%201_0.JPG?h=0d054e74&itok=AjOeGKps,https://www.f-w.com/projects/procurement-strategy-drives-reduced-construction-costs
Telecom Cable Replacement,Confidential Global Telecom Company,"St. Genevieve, MO",Engineering,Telecommunications,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pole%204%20%28091978%29_edit.jpg?h=d318f057&itok=iLcquhfZ,https://www.f-w.com/projects/project-renews-aerial-cable-lines
UCHealth Memorial Hospital North Multidisciplinary Interventional Radiology Lab,RTA Architects,"Colorado Springs, CO","Electrical, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/uch%20cath%20lab_0.jpg?h=a1b7c100&itok=iJpe-tsf,https://www.f-w.com/projects/radiology-lab-renovation-at-uchealth-memorial-hosptial-north
Santa Fe Park,Chillicothe Park District,"Chillicothe, IL",Landscape Architecture,Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Sante%20Fe%20park%20overall%20grass.jpg?h=fee4874d&itok=YnKFtLWZ,https://www.f-w.com/projects/railroad-themed-park-transforms-city-block
Rail Splitter Wind Farm Site and O&M Building,Horizon Wind Energy,"Logan & Tazewell Counties, IL","Architecture, Commissioning (Cx), Electrical, Engineering, Mechanical, Plumbing, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/RailSplitterBlueSky.jpg?h=0286d5e6&itok=aQVMkOK2,https://www.f-w.com/projects/railsplitter-wind-farm-in-logantazewell-counties-illinois
Rattlesnake Road Wind Farm,Horizon Wind Energy,"Gilliam County, OR","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Surveying","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1287_0.jpg?h=a5eb5da0&itok=YgIDFE2h,https://www.f-w.com/projects/rattlesnake-road-wind-farm-in-gilliam-county-oregon
New and Renovated K-12 Schools,Louisiana Department of Education Recovery School District / Orleans Parish School Board,"New Orleans, LA",Commissioning (Cx),K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Lake%20Area%20ext%20004%20lg.jpg?h=65da88bc&itok=SzffZelD,https://www.f-w.com/projects/rebuilding-new-orleans-schools
Lincoln Center,Lincoln College,"Lincoln, IL","Architecture, Structural","Higher Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0009.jpg?h=fee4874d&itok=KI74DKut,https://www.f-w.com/projects/rec-center-keeps-students-fit
Rickelman Avenue Reconstruction,City of Effingham,"Effingham, IL","Structural, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0371%20-%20resized.jpg?h=9b14f9d6&itok=-q_0ZLv6,https://www.f-w.com/projects/reconstruction-extends-roadway
Pontiac Community Recreation Center,City of Pontiac,"Pontiac, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","K-12 Education, Municipal, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/pontiac%20rec%20gym%2012.2019%203.jpg?h=c5f30f03&itok=UxcRUQ-h,https://www.f-w.com/projects/recreation-center-serves-dual-purpose
Aspen Bus Maintenance Facility,Roaring Fork Transportation Authority,"Aspen, CO","Electrical, Land Development, Mechanical, Plumbing, Surveying","Industrial, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/RFTA%20080408%20215_0.jpg?h=feba0e1d&itok=bDG08jWe,https://www.f-w.com/projects/redeveloped-maintenance-facility-expands-capabilities
Cal-Sag West Development,Village of Crestwood,"Crestwood, IL","Land Development, Landscape Architecture, Surveying, Stormwater Management",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CALSAG_0.jpg?h=cf13fad1&itok=Bu7hmcar,https://www.f-w.com/projects/redevelopment-of-cal-sag-channel-to-provide-multiple-community-benefits
Memorial Plaza,Village of Morton,"Morton, IL","Architecture, Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/162.JPG?h=790be497&itok=Dk9Rkci8,https://www.f-w.com/projects/redevelopment-sparked-by-memorial-plaza
Regional Data Center - IT Addition,Health Care Service Corporation,"Waukegan, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Ext2.jpg?h=69967e0e&itok=3fUKSaon,https://www.f-w.com/projects/regional-data-center-it-addition
Rehabilitation Facility,Villas of Sherman and Springfield Clinic,"Sherman, IL","Architecture, Interior Design","Healthcare, Senior Life Care",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Villas_Int_20.jpg?h=c12d1b16&itok=YeL76R7G,https://www.f-w.com/projects/rehabilitation-therapy-addition-for-senior-care
Snyder Village New Bistro and Lounge,Snyder Village,"Metamora, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0104_larger%20web.jpg?h=7eeb1a9b&itok=cBwWKtVz,https://www.f-w.com/projects/rehabilitative-residents-enjoy-new-bistro-and-lounge
South Lawrence Trafficway Relocation,Southern Star Central Gas Pipeline,"Lawrence, KS","Oil & Gas, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_2538.JPG?h=4c5c077f&itok=jUssaxcB,https://www.f-w.com/projects/relocation-of-3-south-lawrence-trafficway-pipelines
Conejos County Hospital Emergency Department Addition and Renovation,RTA Architects,"La Jara, CO","Electrical, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20190709_095852%20edited%20and%20cropped_0.jpg?h=ffadc2f2&itok=htr5mlJt,https://www.f-w.com/projects/renovation-adheres-to-tight-constraints
Healogics at Penrose St. Francis,RTA Architects,"Colorado Springs, CO","Electrical, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Penrose%20Hyperbaric%20Slideshow.jpg?h=12bd73b8&itok=mVnYlHcX,https://www.f-w.com/projects/renovation-for-hyperbaric-wound-care-center
Arbor Hall Renovation - North Campus,Illinois Central College,"East Peoria, IL","Architecture, Commissioning (Cx), Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0019_cropped_adjusted.jpg?h=dc2340c9&itok=CQdde8_6,https://www.f-w.com/projects/renovation-of-arbor-hall
Illinois State Bar Association ADA Upgrades,Illinois State Bar Association,"Springfield, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IL_State_Bar_Int_14_0.jpg?h=5e61e3c6&itok=vkFxkvpr,https://www.f-w.com/projects/renovation-of-illinois-state-bar-association
Wilmette Histology Lab,"Metro Chicago Surgical Oncology, LLC.","Wilmette, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0013.JPG?h=fee4874d&itok=lMNEOIYt,https://www.f-w.com/projects/renovation-of-office-building-into-histology-lab
Renovations at the Historic Fox Developmental Center,Illinois Capital Development Board,"Dwight, IL","Architecture, Structural",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/fox%20developmental%20larger%20web%20no%20car.jpg?h=f3bb3592&itok=A0lFNp7u,https://www.f-w.com/projects/renovations-at-the-historic-fox-developmental-center
Historic McClure Branch Library Renovation,Peoria Public Library,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0017.JPG?h=fee4874d&itok=xv8C8Yuh,https://www.f-w.com/projects/renovations-completed-at-historic-library
Ent Credit Union – Multiple Branches,Keys + Lauer Architects,"Multiple Locations, CO","Electrical, Mechanical, Plumbing",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ENT%20CU%20Ken%20Caryl%201.jpg?h=b176a34d&itok=BKQUdh_n,https://www.f-w.com/projects/repeat-mep-projects-for-ent-credit-union-locations
Trefzger's Bakery,The Kim Group,"Peoria Heights, IL","Architecture, Land Development, Landscape Architecture","Historic Preservation, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/TB%201.jpg?h=9958f2f4&itok=P7tMGdBA,https://www.f-w.com/projects/repurposing-a-19th-century-landmark
Retractable Roof and Walls Greenhouse,University of Illinois at Urbana-Champaign,"Champaign, IL",Structural,Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC03721.JPG?h=adbb760b&itok=W_tFyoTC,https://www.f-w.com/projects/retractable-roof-greenhouse-for-research
Broomfield Detention Center,City and County of Broomfield,"Broomfield, CO",Retro-Commissioning (RCx),,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/10_Exterior%20Fenestration_0.jpg?h=71976bb4&itok=gzFA9ztm,https://www.f-w.com/projects/retro-commissioning-identifies-operational-issues
University of West Georgia Biology Renovation and Expansion,University of West Georgia,"Carrollton, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/interior%20commons_0.jpg?h=71976bb4&itok=A4uXcg7W,https://www.f-w.com/projects/revitalizing-excellence-the-university-of-west-georgias-biology-building-renovation-and
The Streets at SouthGlenn,"Alberta Development Partners, LLC","Centennial, CO",Architecture,Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/southglenn%2010.jpg?h=12bd73b8&itok=fwSO-8kq,https://www.f-w.com/projects/revitalizing-the-community-shopping-experience
RLI Campus Design & New Office Building,RLI Corporation,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/RLI%201.jpg?h=0d27ee61&itok=CNMjciZH,https://www.f-w.com/projects/rli-headquarters-addition
Dry Gulch Road Rehabilitation,Town of Estes Park,"Estes Park, CO","Engineering, Municipal, Surveying, Transportation, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1799.JPG?h=0d27ee61&itok=nZiP-VZI,https://www.f-w.com/projects/road-drainage-and-pedestrian-improvements
Orchard Street Roadway Improvements,University of Illinois at Urbana-Champaign,"Champaign, IL","Municipal, Transportation",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC03416_0.JPG?itok=c1LTOJh9,https://www.f-w.com/projects/roadway-improvements-enhance-housing-complex
North Rock Hill Road Reconstruction,City of Webster Groves,"Webster Groves, MO","Surveying, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/N%20Rock%20Hill%20Rd%20Web%20Image.jpg?h=12bd73b8&itok=nGWVy3WN,https://www.f-w.com/projects/roadway-reconstruction-for-improvements
